Run 52: [0, 6, 35, 72, 101, 107, 129, 138, 147, 216, 225, 234]
Run 53: [2, 4, 35, 74, 101, 107, 129, 136, 147, 218, 225, 232]
Run 54: [0, 9, 36, 42, 50, 82, 108, 140, 148, 154, 181, 190]
Run 55: [1, 7, 34, 73, 100, 106, 128, 139, 146, 217, 224, 235]
Run 56: [0, 6, 30, 37, 44, 72, 126, 147, 154, 168, 176, 182]
Run 57: [4, 13, 33, 39, 63, 70, 105, 136, 142, 144, 162, 171]
Run 58: [4, 15, 29, 35, 37, 70, 125, 144, 158, 166, 180, 191]
Run 59: [0, 14, 24, 33, 42, 70, 132, 143, 157, 165, 171, 227]
Run 60: [0, 6, 24, 35, 42, 78, 120, 149, 156, 174, 176, 182]
Run 61: [2, 16, 27, 52, 58, 89, 124, 135, 145, 159, 181, 190]
Run 62: [1, 24, 57, 67, 96, 123, 133, 155, 169, 211, 225, 247]
Run 63: [0, 11, 25, 33, 47, 66, 121, 148, 154, 162, 176, 187]
Run 64: [15, 20, 29, 49, 55, 86, 121, 128, 152, 158, 178, 187]
Run 65: [8, 17, 26, 48, 62, 83, 118, 141, 149, 155, 180, 191]
Run 66: [1, 15, 25, 32, 43, 71, 133, 142, 156, 164, 170, 226]
Run 67: [0, 6, 35, 42, 56, 97, 129, 147, 154, 183, 185, 216]
Run 68: [2, 12, 38, 47, 52, 84, 109, 141, 150, 159, 179, 181]
Run 69: [0, 6, 37, 44, 62, 72, 94, 144, 150, 168, 177, 186]
Run 70: [0, 9, 42, 44, 50, 82, 100, 132, 154, 156, 182, 189]
Run 71: [2, 4, 33, 40, 58, 76, 90, 146, 148, 172, 181, 190]
Run 72: [0, 6, 30, 37, 44, 103, 126, 135, 145, 159, 181, 188]
Run 73: [0, 14, 24, 33, 42, 70, 132, 143, 157, 165, 171, 227]
Run 74: [0, 6, 35, 72, 101, 107, 129, 138, 147, 216, 225, 234]
Run 75: [0, 11, 33, 39, 57, 66, 144, 155, 162, 180, 186, 217]
Run 76: [0, 6, 33, 42, 56, 88, 99, 131, 145, 154, 187, 189]
Run 77: [0, 14, 24, 35, 42, 70, 132, 141, 159, 167, 169, 225]
Run 78: [15, 20, 29, 49, 55, 86, 128, 152, 158, 178, 187, 249]
Run 79: [4, 15, 22, 32, 46, 77, 104, 133, 139, 147, 161, 170]
Run 80: [0, 6, 35, 42, 56, 88, 97, 129, 147, 154, 185, 191]
Run 81: [0, 6, 37, 44, 62, 72, 94, 144, 150, 168, 177, 186]
Run 82: [6, 16, 30, 52, 61, 88, 129, 147, 154, 183, 185, 255]
Run 83: [4, 15, 35, 37, 61, 70, 148, 159, 166, 176, 190, 221]
Run 84: [2, 4, 26, 33, 40, 99, 122, 131, 149, 155, 177, 184]
Run 85: [4, 15, 29, 35, 37, 70, 125, 144, 158, 166, 180, 191]
Run 86: [2, 4, 35, 90, 97, 104, 129, 136, 147, 202, 229, 235]
Run 87: [8, 17, 26, 48, 62, 83, 118, 141, 149, 155, 180, 191]
Run 88: [1, 8, 43, 45, 51, 101, 133, 155, 157, 183, 188, 211]
Run 89: [4, 13, 33, 39, 63, 70, 105, 136, 142, 144, 162, 171]
Run 90: [0, 11, 33, 39, 57, 66, 144, 155, 162, 180, 186, 217]
Run 91: [0, 6, 24, 78, 97, 106, 135, 140, 168, 222, 224, 230]
Run 92: [6, 20, 31, 48, 62, 93, 120, 131, 149, 155, 177, 186]
Run 93: [3, 13, 39, 46, 53, 85, 108, 140, 151, 158, 178, 180]
Run 94: [0, 6, 30, 72, 101, 108, 131, 138, 174, 216, 224, 230]
Run 95: [3, 8, 34, 36, 58, 90, 147, 152, 161, 183, 185, 193]
Run 96: [3, 5, 38, 47, 61, 93, 100, 132, 150, 159, 186, 188]
Run 97: [0, 6, 39, 94, 101, 108, 133, 140, 151, 206, 225, 239]
Run 98: [5, 12, 38, 40, 62, 94, 96, 128, 150, 152, 178, 185]
Run 99: [0, 11, 18, 36, 42, 73, 108, 129, 143, 151, 165, 174]
Run 100: [0, 9, 35, 45, 59, 91, 101, 133, 147, 157, 183, 188]
